,,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2015,11,SD,Final,"38,394","345,807","389,548",11.10,"33,873","373,179","70,061",9.08,"15,441","218,338","3,754",7.07,0,0,0,0.00,"87,708","937,325","463,363",9.36
2015,11,TN,Final,"261,143","2,414,772","2,788,121",10.81,"264,349","2,604,537","477,841",10.15,"104,398","1,776,964","1,254",5.88,0,0,0,0.00,"629,891","6,796,274","3,267,216",9.27
2015,11,TX,Final,"955,271","8,391,003","10,303,085",11.38,"795,774","10,009,089","1,421,366",7.95,"460,439","8,809,431","108,503",5.23,867,"15,963",3,5.43,"2,212,351","27,225,486","11,832,957",8.13
2015,11,UT,Final,"73,200","688,561","1,029,529",10.63,"74,593","918,250","122,415",8.12,"45,514","805,654","9,668",5.65,471,"4,731",1,9.95,"193,777","2,417,196","1,161,613",8.02
2015,11,VA,Final,"336,556","2,933,868","3,341,680",11.47,"288,262","3,545,970","450,733",8.13,"90,070","1,319,579","3,692",6.83,"1,066","14,023",1,7.60,"715,953","7,813,440","3,796,106",9.16
2015,11,VT,Final,"27,304","154,510","312,217",17.67,"22,596","154,413","53,965",14.63,"11,832","117,021",233,10.11,0,0,0,0.00,"61,732","425,943","366,415",14.49
2015,11,WA,Final,"276,168","2,936,136","2,933,914",9.41,"198,914","2,342,598","365,337",8.49,"93,778","2,097,140","28,516",4.47,40,443,6,9.00,"568,900","7,376,317","3,327,773",7.71
2015,11,WI,Final,"226,744","1,627,485","2,642,357",13.93,"191,801","1,831,664","346,994",10.47,"137,554","1,896,047","5,463",7.25,3,18,1,16.67,"556,102","5,355,214","2,994,815",10.38
2015,11,WV,Final,"83,329","776,613","862,104",10.73,"52,919","579,851","142,236",9.13,"63,445","1,017,338","11,843",6.24,0,0,0,0.00,"199,694","2,373,803","1,016,183",8.41
2015,11,WY,Final,"24,183","217,760","268,760",11.11,"29,155","315,467","57,643",9.24,"58,304","879,193","10,505",6.63,0,0,0,0.00,"111,642","1,412,421","336,908",7.90
2015,10,AK,Final,"33,151","162,818","284,050",20.36,"39,384","223,687","50,912",17.61,"16,574","117,119","1,332",14.15,0,0,0,0.00,"89,109","503,624","336,294",17.69
2015,10,AL,Final,"243,256","2,040,510","2,187,188",11.92,"200,687","1,878,547","364,402",10.68,"157,741","2,786,306","7,267",5.66,0,0,0,0.00,"601,684","6,705,363","2,558,857",8.97
2015,10,AR,Final,"126,840","1,271,523","1,359,372",9.98,"85,618","1,029,412","188,885",8.32,"83,199","1,394,312","38,355",5.97,3,32,2,9.50,"295,661","3,695,279","1,586,614",8.00
2015,10,AZ,Final,"310,703","2,555,751","2,694,109",12.16,"258,014","2,460,498","315,479",10.49,"81,252","1,329,991","7,793",6.11,51,509,1,10.02,"650,021","6,346,748","3,017,382",10.24
2015,10,CA,Final,"1,259,082","8,418,090","13,614,795",14.96,"1,885,486","11,048,660","1,713,815",17.07,"649,117","4,786,311","152,564",13.56,"7,370","76,263",13,9.66,"3,801,055","24,329,324","15,481,187",15.62
2015,10,CO,Final,"169,408","1,426,284","2,233,831",11.88,"170,871","1,724,243","366,675",9.91,"97,182","1,306,509","16,344",7.44,508,"5,103",1,9.96,"437,970","4,462,139","2,616,851",9.82
2015,10,CT,Final,"170,497","847,004","1,470,588",20.13,"160,492","1,013,408","150,914",15.84,"38,484","301,198","4,398",12.78,"1,394","13,086",3,10.65,"370,868","2,174,695","1,625,903",17.05
2015,10,DC,Final,"21,451","154,115","251,442",13.92,"67,184","572,968","25,776",11.73,"1,925","20,828",1,9.24,"2,292","24,858",1,9.22,"92,852","772,769","277,220",12.02
2015,10,DE,Final,"41,781","291,132","415,666",14.35,"38,801","385,511","53,021",10.06,"16,314","200,330",859,8.14,0,0,0,0.00,"96,895","876,973","469,546",11.05
2015,10,FL,Final,"1,150,460","10,023,496","8,937,299",11.48,"771,165","8,181,024","1,185,140",9.43,"112,480","1,386,439","19,674",8.11,700,"7,789",2,8.99,"2,034,805","19,598,748","10,142,115",10.38
2015,10,GA,Final,"414,150","3,710,363","4,202,964",11.16,"371,000","3,799,241","564,137",9.77,"152,150","2,731,803","20,618",5.57,592,"13,073",1,4.53,"937,891","10,254,480","4,787,720",9.15
2015,10,HI,Final,"64,938","230,241","428,702",28.20,"72,051","277,956","60,577",25.92,"71,723","323,219",769,22.19,0,0,0,0.00,"208,711","831,416","490,048",25.10
2015,10,IA,Final,"99,686","872,648","1,357,958",11.42,"83,868","974,077","231,806",8.61,"102,468","1,804,119","7,762",5.68,0,0,0,0.00,"286,022","3,650,843","1,597,526",7.83
2015,10,ID,Final,"53,561","522,379","704,366",10.25,"38,707","503,572","106,616",7.69,"35,484","591,899","27,799",6.00,0,0,0,0.00,"127,752","1,617,850","838,781",7.90
2015,10,IL,Final,"388,098","2,857,298","5,188,432",13.58,"363,893","3,998,596","604,168",9.10,"229,657","3,475,637","6,007",6.61,"2,736","41,012",3,6.67,"984,383","10,372,544","5,798,610",9.49
2015,10,IN,Final,"248,554","2,041,834","2,807,711",12.17,"187,636","1,935,514","351,024",9.69,"266,965","3,967,376","18,260",6.73,152,"1,572",1,9.67,"703,307","7,946,295","3,176,996",8.85
2015,10,KS,Final,"101,683","820,987","1,230,445",12.39,"123,903","1,240,700","229,835",9.99,"67,428","910,955","24,096",7.40,0,0,0,0.00,"293,015","2,972,642","1,484,376",9.86
2015,10,KY,Final,"173,343","1,590,543","1,950,339",10.90,"147,381","1,550,522","299,881",9.51,"135,100","2,451,127","7,529",5.51,0,0,0,0.00,"455,824","5,592,192","2,257,749",8.15
2015,10,LA,Final,"235,114","2,435,650","2,048,992",9.65,"186,039","2,132,507","299,309",8.72,"162,229","2,887,529","19,704",5.62,80,"1,039",1,7.66,"583,462","7,456,725","2,368,006",7.82
2015,10,MA,Final,"257,953","1,400,748","2,793,500",18.42,"329,045","2,154,847","405,435",15.27,"87,529","653,357","14,105",13.40,"1,869","26,659",3,7.01,"676,397","4,235,612","3,213,043",15.97
2015,10,MD,Final,"236,264","1,551,805","2,264,171",15.23,"262,594","2,421,031","249,620",10.85,"24,230","305,587","8,738",7.93,"2,888","37,456",5,7.71,"525,976","4,315,879","2,522,534",12.19
2015,10,ME,Final,"54,925","343,789","703,478",15.98,"41,073","327,614","98,080",12.54,"28,930","352,075","3,028",8.22,0,0,0,0.00,"124,929","1,023,479","804,586",12.21
2015,10,MI,Final,"330,106","2,221,309","4,289,493",14.86,"328,268","3,142,159","534,012",10.45,"173,656","2,581,120","6,078",6.73,36,337,1,10.77,"832,065","7,944,926","4,829,584",10.47
2015,10,MN,Final,"190,636","1,519,372","2,363,043",12.55,"180,476","1,905,028","286,204",9.47,"124,608","1,761,904","9,845",7.07,160,"1,746",1,9.19,"495,881","5,188,051","2,659,093",9.56
2015,10,MO,Final,"232,429","2,058,713","2,734,048",11.29,"206,864","2,353,184","374,186",8.79,"87,344","1,438,567","10,178",6.07,119,"1,609",1,7.40,"526,756","5,852,073","3,118,413",9.00
2015,10,MS,Final,"153,205","1,363,169","1,272,943",11.24,"125,858","1,230,064","232,492",10.23,"86,217","1,359,184","10,039",6.34,0,0,0,0.00,"365,279","3,952,417","1,515,474",9.24
2015,10,MT,Final,"35,407","316,365","493,599",11.19,"40,020","393,835","104,652",10.16,"18,899","363,305","10,784",5.20,0,0,0,0.00,"94,327","1,073,505","609,035",8.79
2015,10,NC,Final,"428,840","3,552,450","4,347,967",12.07,"347,426","3,911,249","672,050",8.88,"152,949","2,303,320","10,259",6.64,52,656,1,7.92,"929,267","9,767,674","5,030,277",9.51
2015,10,ND,Final,"32,247","309,132","375,017",10.43,"44,820","497,072","71,680",9.02,"47,594","608,218","8,913",7.83,0,0,0,0.00,"124,662","1,414,422","455,610",8.81
2015,10,NE,Final,"69,557","660,534","828,960",10.53,"63,565","758,388","150,780",8.38,"57,834","811,136","61,517",7.13,0,0,0,0.00,"190,956","2,230,059","1,041,257",8.56
2015,10,NH,Final,"57,286","322,998","612,021",17.74,"52,744","366,089","106,657",14.41,"20,907","166,943","3,289",12.52,0,0,0,0.00,"130,938","856,031","721,967",15.30
2015,10,NJ,Final,"276,453","1,816,903","3,504,644",15.22,"368,924","3,047,462","513,386",12.11,"61,359","613,745","12,161",10.00,"2,557","27,476",6,9.31,"709,292","5,505,586","4,030,197",12.88
2015,10,NM,Final,"62,621","496,675","873,471",12.61,"76,158","751,670","142,223",10.13,"40,869","648,657","9,427",6.30,0,0,0,0.00,"179,648","1,897,002","1,025,121",9.47
2015,10,NV,Final,"123,227","949,430","1,128,241",12.98,"73,844","808,141","160,100",9.14,"69,022","1,153,434","3,829",5.98,62,684,1,9.06,"266,155","2,911,689","1,292,171",9.14
2015,10,NY,Final,"691,005","3,775,683","7,085,540",18.30,"945,980","6,169,122","1,059,037",15.33,"94,496","1,499,344","7,647",6.30,"30,499","239,564",7,12.73,"1,761,981","11,683,713","8,152,231",15.08
2015,10,OH,Final,"417,922","3,208,182","4,887,867",13.03,"382,320","3,767,278","621,090",10.15,"301,637","4,260,331","19,121",7.08,188,"2,376",2,7.90,"1,102,067","11,238,167","5,528,080",9.81
2015,10,OK,Final,"159,460","1,414,364","1,728,031",11.27,"128,970","1,642,718","278,921",7.85,"76,787","1,497,486","18,551",5.13,0,0,0,0.00,"365,217","4,554,568","2,025,503",8.02
2015,10,OR,Final,"139,765","1,279,169","1,694,135",10.93,"118,397","1,328,164","230,093",8.91,"63,654","1,069,005","26,689",5.95,189,"2,148",2,8.81,"322,005","3,678,486","1,950,919",8.75
2015,10,PA,Final,"503,514","3,526,271","5,304,588",14.28,"328,825","3,441,053","691,268",9.56,"282,479","3,975,946","23,553",7.10,"5,396","69,633",6,7.75,"1,120,215","11,012,903","6,019,415",10.17
2015,10,RI,Final,"44,711","227,205","439,792",19.68,"43,067","295,484","58,859",14.58,"8,323","64,128","1,831",12.98,377,"1,987",1,18.96,"96,478","588,804","500,483",16.39
2015,10,SC,Final,"243,650","1,898,020","2,195,250",12.84,"173,414","1,743,586","359,632",9.95,"145,578","2,439,821","4,201",5.97,0,0,0,0.00,"562,642","6,081,427","2,559,083",9.25
2015,10,SD,Final,"36,210","305,547","389,780",11.85,"35,655","382,319","70,224",9.33,"17,296","231,822","3,822",7.46,0,0,0,0.00,"89,162","919,688","463,826",9.69
2015,10,TN,Final,"284,103","2,668,410","2,788,550",10.65,"280,324","2,755,676","477,324",10.17,"115,582","1,888,324","1,247",6.12,0,0,0,0.00,"680,008","7,312,409","3,267,121",9.30
2015,10,TX,Final,"1,324,545","11,673,440","10,387,765",11.35,"957,816","12,098,295","1,435,735",7.92,"520,831","9,791,554","109,618",5.32,874,"16,577",3,5.27,"2,804,067","33,579,866","11,933,121",8.35
2015,10,UT,Final,"71,276","680,475","1,027,411",10.47,"86,474","982,941","122,041",8.80,"46,409","750,928","9,769",6.18,471,"4,706",1,10.01,"204,630","2,419,050","1,159,222",8.46
2015,10,VA,Final,"315,686","2,738,690","3,338,877",11.53,"309,896","3,859,929","450,417",8.03,"106,198","1,563,635","3,701",6.79,"1,368","17,544",1,7.80,"733,148","8,179,797","3,792,996",8.96
2015,10,VT,Final,"26,108","149,675","312,634",17.44,"24,320","163,798","53,762",14.85,"11,741","116,948",229,10.04,0,0,0,0.00,"62,169","430,420","366,625",14.44
2015,10,WA,Final,"220,178","2,333,355","2,966,918",9.44,"198,440","2,370,410","368,626",8.37,"96,904","2,194,352","29,848",4.42,40,471,6,8.56,"515,562","6,898,589","3,365,398",7.47
2015,10,WI,Final,"211,789","1,452,829","2,650,588",14.58,"206,942","1,889,528","347,410",10.95,"152,467","2,013,166","5,642",7.57,2,15,1,13.33,"571,200","5,355,537","3,003,641",10.67
2015,10,WV,Final,"74,773","680,681","857,478",10.99,"56,504","627,140","141,460",9.01,"66,192","1,100,855","11,828",6.01,0,0,0,0.00,"197,469","2,408,676","1,010,766",8.20
2015,10,WY,Final,"20,929","180,994","268,955",11.56,"29,050","305,570","57,696",9.51,"61,971","897,632","10,675",6.90,0,0,0,0.00,"111,951","1,384,197","337,326",8.09
2015,9,AK,Final,"30,016","147,798","283,818",20.31,"39,722","222,609","50,894",17.84,"15,903","111,767","1,330",14.23,0,0,0,0.00,"85,641","482,174","336,042",17.76
2015,9,AL,Final,"333,718","2,730,060","2,187,050",12.22,"230,903","2,113,224","364,275",10.93,"184,800","2,818,268","7,306",6.56,0,0,0,0.00,"749,421","7,661,552","2,558,631",9.78
2015,9,AR,Final,"174,708","1,664,952","1,359,300",10.49,"100,440","1,159,660","188,693",8.66,"97,002","1,429,608","40,791",6.79,4,41,2,11.02,"372,154","4,254,260","1,588,786",8.75
2015,9,AZ,Final,"447,937","3,529,071","2,686,017",12.69,"303,821","2,770,257","315,247",10.97,"86,404","1,319,352","7,834",6.55,59,523,1,11.28,"838,221","7,619,203","3,009,099",11.00
2015,9,CA,Final,"1,738,028","9,469,764","13,389,882",18.35,"2,018,118","11,123,151","1,685,603",18.14,"672,032","4,883,259","148,797",13.76,"6,707","68,481",13,9.79,"4,434,886","25,544,655","15,224,295",17.36
2015,9,CO,Final,"199,421","1,586,797","2,230,066",12.57,"185,744","1,819,734","366,644",10.21,"102,924","1,361,091","16,713",7.56,557,"5,474",1,10.18,"488,647","4,773,095","2,613,424",10.24
2015,9,CT,Final,"227,692","1,180,178","1,469,103",19.29,"182,209","1,199,745","150,870",15.19,"38,527","304,775","4,382",12.64,"1,834","18,236",3,10.06,"450,263","2,702,934","1,624,358",16.66
2015,9,DC,Final,"28,664","224,987","249,807",12.74,"86,814","712,857","25,883",12.18,"1,495","17,700",1,8.45,"2,392","24,808",1,9.64,"119,364","980,353","275,692",12.18
2015,9,DE,Final,"54,261","398,553","415,833",13.61,"37,852","373,136","53,092",10.14,"15,708","186,754",861,8.41,0,0,0,0.00,"107,821","958,443","469,786",11.25
2015,9,FL,Final,"1,387,445","11,900,343","8,990,597",11.66,"824,070","8,730,963","1,188,452",9.44,"119,822","1,441,028","19,762",8.32,738,"8,395",2,8.79,"2,332,075","22,080,728","10,198,813",10.56
2015,9,GA,Final,"594,099","4,879,527","4,199,695",12.18,"406,981","4,162,224","563,766",9.78,"160,166","2,724,357","21,004",5.88,828,"14,992",1,5.52,"1,162,075","11,781,100","4,784,466",9.86
2015,9,HI,Final,"72,723","255,051","428,896",28.51,"75,890","284,464","60,620",26.68,"73,633","326,379",743,22.56,0,0,0,0.00,"222,246","865,894","490,259",25.67
2015,9,IA,Final,"139,882","1,161,462","1,358,910",12.04,"99,475","1,081,380","228,724",9.20,"111,790","1,698,737","7,729",6.58,0,0,0,0.00,"351,147","3,941,579","1,595,363",8.91
2015,9,ID,Final,"52,207","521,227","703,289",10.02,"38,889","508,860","106,641",7.64,"55,568","803,271","27,776",6.92,0,0,0,0.00,"146,665","1,833,358","837,706",8.00
2015,9,IL,Final,"484,994","3,790,163","5,177,151",12.80,"401,784","4,371,275","603,362",9.19,"251,041","3,770,276","6,024",6.66,"2,862","42,156",3,6.79,"1,140,682","11,973,870","5,786,540",9.53
2015,9,IN,Final,"307,811","2,606,093","2,807,039",11.81,"205,386","2,125,759","350,956",9.66,"277,155","4,024,230","18,205",6.89,158,"1,624",1,9.71,"790,510","8,757,705","3,176,201",9.03
2015,9,KS,Final,"156,851","1,276,243","1,232,598",12.29,"142,127","1,414,417","229,477",10.05,"74,887","996,072","24,483",7.52,0,0,0,0.00,"373,865","3,686,732","1,486,558",10.14
2015,9,KY,Final,"221,981","2,111,515","1,949,015",10.51,"166,905","1,735,253","300,189",9.62,"147,350","2,505,716","7,307",5.88,0,0,0,0.00,"536,236","6,352,483","2,256,511",8.44
2015,9,LA,Final,"305,402","3,142,445","2,048,683",9.72,"207,188","2,377,550","299,773",8.71,"177,581","3,153,480","19,878",5.63,88,"1,042",1,8.46,"690,259","8,674,516","2,368,335",7.96
2015,9,MA,Final,"347,884","1,843,966","2,796,546",18.87,"366,471","2,331,489","405,444",15.72,"91,310","663,644","14,204",13.76,"2,225","26,785",3,8.31,"807,891","4,865,884","3,216,197",16.60
2015,9,MD,Final,"286,830","2,047,696","2,260,720",14.01,"265,124","2,459,814","249,665",10.78,"31,764","382,338","9,088",8.31,"3,306","42,882",5,7.71,"587,023","4,932,730","2,519,478",11.90
2015,9,ME,Final,"58,729","388,129","706,642",15.13,"42,625","367,648","98,106",11.59,"24,777","289,479","3,035",8.56,0,0,0,0.00,"126,130","1,045,257","807,783",12.07
2015,9,MI,Final,"413,960","2,851,468","4,284,641",14.52,"342,685","3,302,267","533,853",10.38,"179,876","2,587,466","6,074",6.95,40,340,1,11.86,"936,561","8,741,541","4,824,569",10.71
2015,9,MN,Final,"217,151","1,712,452","2,359,444",12.68,"196,254","2,007,162","286,138",9.78,"127,596","1,780,315","9,808",7.17,179,"1,745",1,10.26,"541,180","5,501,673","2,655,391",9.84
2015,9,MO,Final,"328,462","2,812,796","2,736,786",11.68,"256,935","2,744,588","374,615",9.36,"98,958","1,420,858","10,186",6.96,192,"1,635",1,11.72,"684,547","6,979,878","3,121,588",9.81
2015,9,MS,Final,"201,460","1,805,194","1,273,286",11.16,"142,632","1,382,904","232,261",10.31,"96,054","1,337,752","10,882",7.18,0,0,0,0.00,"440,146","4,525,849","1,516,429",9.73
2015,9,MT,Final,"37,688","332,047","492,883",11.35,"39,651","390,148","104,618",10.16,"19,618","380,165","11,485",5.16,0,0,0,0.00,"96,957","1,102,360","608,986",8.80
2015,9,NC,Final,"565,969","4,765,621","4,344,017",11.88,"392,553","4,371,135","672,243",8.98,"158,900","2,347,636","10,302",6.77,58,753,1,7.70,"1,117,481","11,485,146","5,026,563",9.73
2015,9,ND,Final,"33,087","299,979","373,841",11.03,"44,049","476,548","71,620",9.24,"46,669","553,312","8,873",8.43,0,0,0,0.00,"123,805","1,329,839","454,334",9.31
2015,9,NE,Final,"90,357","748,601","828,923",12.07,"75,902","830,413","150,975",9.14,"72,599","958,925","61,532",7.57,0,0,0,0.00,"238,858","2,537,939","1,041,430",9.41
2015,9,NH,Final,"69,839","405,243","608,824",17.23,"57,942","409,354","106,695",14.15,"22,884","182,500","3,269",12.54,0,0,0,0.00,"150,665","997,097","718,788",15.11
2015,9,NJ,Final,"423,161","2,701,682","3,497,591",15.66,"441,086","3,413,477","514,478",12.92,"61,443","567,905","12,205",10.82,"2,115","21,249",6,9.95,"927,805","6,704,313","4,024,280",13.84
2015,9,NM,Final,"78,754","621,242","872,098",12.68,"84,886","803,637","142,284",10.56,"42,453","663,482","9,448",6.40,0,0,0,0.00,"206,093","2,088,362","1,023,830",9.87
2015,9,NV,Final,"171,668","1,386,595","1,130,375",12.38,"78,832","857,065","161,663",9.20,"104,914","1,225,645","3,883",8.56,74,743,1,9.96,"355,489","3,470,048","1,295,922",10.24
2015,9,NY,Final,"909,860","4,949,532","7,082,017",18.38,"1,154,983","7,158,922","1,054,728",16.13,"104,335","1,596,848","7,533",6.53,"30,790","230,124",7,13.38,"2,199,968","13,935,425","8,144,285",15.79
2015,9,OH,Final,"527,393","4,148,200","4,889,203",12.71,"416,723","4,088,079","621,945",10.19,"305,502","4,194,956","19,088",7.28,198,"2,543",2,7.77,"1,249,816","12,433,778","5,530,238",10.05
2015,9,OK,Final,"231,494","2,163,772","1,727,201",10.70,"161,387","2,002,640","278,837",8.06,"87,268","1,495,402","18,696",5.84,0,0,0,0.00,"480,149","5,661,814","2,024,734",8.48
2015,9,OR,Final,"131,096","1,204,222","1,691,492",10.89,"112,680","1,280,340","230,077",8.80,"67,589","1,107,130","26,707",6.10,190,"2,076",2,9.14,"311,554","3,593,767","1,948,278",8.67
2015,9,PA,Final,"634,391","4,497,096","5,302,838",14.11,"361,899","3,803,547","690,883",9.51,"294,213","4,097,132","23,584",7.18,"4,719","59,377",6,7.95,"1,295,222","12,457,152","6,017,311",10.40
2015,9,RI,Final,"59,792","276,849","440,176",21.60,"45,662","308,511","58,935",14.80,"7,915","60,822","1,846",13.01,407,"2,146",1,18.98,"113,777","648,327","500,958",17.55
2015,9,SC,Final,"325,465","2,513,628","2,192,785",12.95,"204,384","1,948,592","359,464",10.49,"153,228","2,468,034","4,285",6.21,0,0,0,0.00,"683,077","6,930,254","2,556,534",9.86
2015,9,SD,Final,"40,102","334,247","389,522",12.00,"37,581","401,770","70,305",9.35,"18,638","243,409","3,827",7.66,0,0,0,0.00,"96,320","979,426","463,654",9.83
2015,9,TN,Final,"372,554","3,602,076","2,791,360",10.34,"330,832","3,196,993","478,615",10.35,"136,983","1,978,361","1,251",6.92,0,0,0,0.00,"840,370","8,777,429","3,271,226",9.57
2015,9,TX,Final,"1,729,973","15,031,761","10,351,037",11.51,"1,038,317","12,797,169","1,434,288",8.11,"539,500","9,747,826","108,020",5.53,850,"16,165",3,5.26,"3,308,640","37,592,920","11,893,348",8.80
2015,9,UT,Final,"90,151","797,765","1,026,230",11.30,"96,568","1,040,505","122,003",9.28,"48,931","701,861","9,793",6.97,477,"4,716",1,10.12,"236,128","2,544,848","1,158,027",9.28
2015,9,VA,Final,"409,216","3,452,778","3,336,570",11.85,"334,091","4,125,391","450,573",8.10,"100,488","1,463,855","3,726",6.86,"1,229","15,746",1,7.81,"845,025","9,057,770","3,790,870",9.33
2015,9,VT,Final,"28,217","163,349","313,079",17.27,"25,574","176,159","53,963",14.52,"12,408","119,636",229,10.37,0,0,0,0.00,"66,199","459,144","367,271",14.42
2015,9,WA,Final,"215,366","2,288,277","2,956,051",9.41,"197,640","2,411,300","369,200",8.20,"98,525","2,209,865","29,481",4.46,40,504,6,7.93,"511,570","6,909,947","3,354,738",7.40
2015,9,WI,Final,"258,241","1,772,435","2,652,471",14.57,"233,065","2,063,361","348,398",11.30,"164,746","2,081,393","5,620",7.92,2,18,1,11.11,"656,054","5,917,206","3,006,490",11.09
2015,9,WV,Final,"79,999","741,244","859,890",10.79,"56,589","641,918","141,877",8.82,"66,564","1,086,080","11,880",6.13,0,0,0,0.00,"203,153","2,469,242","1,013,647",8.23
2015,9,WY,Final,"20,810","180,497","268,743",11.53,"29,633","316,042","57,832",9.38,"56,896","860,336","10,669",6.61,0,0,0,0.00,"107,339","1,356,875","337,244",7.91
2015,8,AK,Final,"29,737","143,850","283,396",20.67,"41,183","230,574","50,753",17.86,"17,342","116,078","1,320",14.94,0,0,0,0.00,"88,261","490,503","335,469",17.99
2015,8,AL,Final,"408,657","3,412,667","2,186,331",11.97,"252,530","2,307,877","363,435",10.94,"197,902","3,028,747","7,319",6.53,0,0,0,0.00,"859,089","8,749,290","2,557,085",9.82
2015,8,AR,Final,"215,092","2,074,524","1,359,595",10.37,"108,235","1,253,979","188,322",8.63,"105,780","1,529,546","41,225",6.92,6,42,2,13.26,"429,113","4,858,090","1,589,144",8.83
2015,8,AZ,Final,"555,341","4,411,632","2,679,208",12.59,"340,170","3,066,475","315,188",11.09,"96,522","1,413,269","7,841",6.83,65,586,1,11.09,"992,098","8,891,961","3,002,238",11.16
2015,8,CA,Final,"1,616,269","8,880,263","13,161,036",18.20,"1,914,478","10,601,324","1,658,489",18.06,"684,200","5,001,471","144,658",13.68,"6,359","69,123",13,9.20,"4,221,306","24,552,181","14,964,196",17.19
2015,8,CO,Final,"240,465","1,910,801","2,227,944",12.58,"198,252","1,938,215","366,552",10.23,"107,195","1,397,883","16,693",7.67,541,"5,401",1,10.02,"546,453","5,252,300","2,611,190",10.40
2015,8,CT,Final,"245,528","1,274,388","1,466,706",19.27,"184,808","1,220,459","151,019",15.14,"39,966","318,576","4,396",12.55,"1,635","15,034",3,10.88,"471,938","2,828,456","1,622,124",16.69
2015,8,DC,Final,"30,762","236,040","247,944",13.03,"90,604","788,758","25,835",11.49,"1,598","17,150",1,9.32,"2,756","30,548",1,9.02,"125,720","1,072,496","273,781",11.72
2015,8,DE,Final,"63,296","468,735","415,485",13.50,"39,123","392,566","53,021",9.97,"17,930","216,743",859,8.27,0,0,0,0.00,"120,349","1,078,044","469,365",11.16
2015,8,FL,Final,"1,475,089","12,720,201","8,981,030",11.60,"856,259","9,128,116","1,189,717",9.38,"126,727","1,494,390","19,787",8.48,732,"8,243",2,8.88,"2,458,807","23,350,949","10,190,536",10.53
2015,8,GA,Final,"762,582","6,214,763","4,198,496",12.27,"457,920","4,612,482","562,941",9.93,"188,192","2,879,654","21,160",6.54,"1,067","14,779",1,7.22,"1,409,762","13,721,677","4,782,598",10.27
2015,8,HI,Final,"76,047","254,692","428,623",29.86,"76,151","279,116","60,568",27.28,"87,282","362,567",727,24.07,0,0,0,0.00,"239,480","896,376","489,918",26.72
2015,8,IA,Final,"166,671","1,219,927","1,357,823",13.66,"107,506","998,232","226,845",10.77,"142,830","2,043,966","7,706",6.99,0,0,0,0.00,"417,006","4,262,125","1,592,374",9.78
2015,8,ID,Final,"70,377","687,546","701,617",10.24,"46,376","572,125","106,459",8.11,"71,955","1,001,829","27,776",7.18,0,0,0,0.00,"188,709","2,261,501","835,852",8.34
2015,8,IL,Final,"582,727","4,656,094","5,172,210",12.52,"431,009","4,675,559","603,557",9.22,"255,643","3,732,690","5,998",6.85,"2,805","41,912",3,6.69,"1,272,184","13,106,255","5,781,768",9.71
2015,8,IN,Final,"361,704","3,121,419","2,799,139",11.59,"218,706","2,260,506","350,917",9.68,"285,167","4,140,964","18,210",6.89,157,"1,699",1,9.24,"865,735","9,524,588","3,168,267",9.09
2015,8,KS,Final,"182,685","1,464,062","1,234,435",12.48,"156,713","1,533,019","229,280",10.22,"79,661","1,034,236","24,678",7.70,0,0,0,0.00,"419,059","4,031,316","1,488,393",10.40
2015,8,KY,Final,"260,528","2,493,648","1,948,842",10.45,"178,961","1,859,076","300,181",9.63,"150,328","2,541,243","7,316",5.92,0,0,0,0.00,"589,817","6,893,966","2,256,339",8.56
2015,8,LA,Final,"365,361","3,762,247","2,049,232",9.71,"221,465","2,541,975","300,230",8.71,"178,650","3,175,848","19,844",5.63,76,854,1,8.89,"765,552","9,480,924","2,369,307",8.07
2015,8,MA,Final,"368,109","2,043,270","2,793,580",18.02,"376,868","2,431,634","404,739",15.50,"97,300","705,219","14,213",13.80,"2,334","28,404",3,8.22,"844,612","5,208,528","3,212,535",16.22
2015,8,MD,Final,"360,629","2,604,863","2,259,975",13.84,"304,885","2,760,428","249,760",11.04,"29,885","330,981","8,821",9.03,"3,677","47,451",5,7.75,"699,077","5,743,723","2,518,561",12.17
2015,8,ME,Final,"62,341","403,166","704,286",15.46,"45,131","375,165","97,885",12.03,"26,020","290,067","3,033",8.97,0,0,0,0.00,"133,492","1,068,399","805,204",12.49
2015,8,MI,Final,"497,571","3,234,675","4,280,375",15.38,"378,238","3,471,868","532,780",10.89,"198,696","2,711,984","6,062",7.33,46,392,1,11.83,"1,074,551","9,418,918","4,819,218",11.41
2015,8,MN,Final,"245,190","1,918,407","2,354,707",12.78,"211,686","2,125,402","284,934",9.96,"138,707","1,869,752","9,770",7.42,183,"1,878",1,9.74,"595,766","5,915,439","2,649,412",10.07
2015,8,MO,Final,"436,447","3,467,280","2,736,346",12.59,"307,561","2,892,633","374,324",10.63,"113,593","1,495,634","10,199",7.60,179,"1,494",1,11.96,"857,779","7,857,041","3,120,870",10.92
